,tiempo,U,Y
0,0.0,0.0,5.056777865275089
1,0.1963923385580954,0.009876118087704394,5.0604374671042445
2,0.3927846771161908,0.03983602949973103,4.991106123232435
3,0.5891770156742862,0.0892017561792613,5.043829995444432
4,0.7855693542323816,0.15604916539308328,5.148466642052829
5,0.9819616927904771,0.23759371666605436,5.119385918549006
6,1.1783540313485723,0.33054264441539116,5.273259056616612
7,1.3747463699066678,0.4314009622593047,5.431081384115193
8,1.5711387084647632,0.5367238902920338,5.706936914487358
9,1.7675310470228587,0.6433128455392445,5.752006467157746
10,1.9639233855809541,0.7483558859499928,5.511453310714332
11,2.1603157241390494,0.849516414855544,5.654154635143255
12,2.3567080626971446,0.9449760470116775,6.105289600746268
13,2.5531004012552403,1.0334388639634742,5.8355569630890365
14,2.7494927398133355,1.11410493180819,6.258550255549967
15,2.945885078371431,1.186621024815924,6.259532980590954
16,3.1422774169295264,1.251016110049958,6.2798096743198375
17,3.3386697554876217,1.307628418703908,6.438187581586385
18,3.5350620940457174,1.3570299714248193,6.471972049651925
19,3.7314544326038126,1.3999533388777674,6.448803300593384
20,3.9278467711619083,1.4372242926089553,6.5351164723957185
21,4.124239109720003,1.4697029062415121,6.464013119584237
22,4.320631448278099,1.4982346578912715,6.657072340153358
23,4.517023786836194,1.523612199882717,6.501731432255892
24,4.713416125394289,1.5465477248495292,6.455850211734434
25,4.909808463952385,1.56765527842065,6.574500564518459
26,5.106200802510481,1.5874419472290915,6.500282399916993
27,5.302593141068576,1.6063065775881495,6.587168726943109
28,5.498985479626671,1.62454453918531,6.678895065756564
29,5.695377818184767,1.6423570197493524,6.667017082666373
30,5.891770156742862,1.6598633988959335,6.528071882118577
31,6.088162495300957,1.677115379818215,6.617413371661114
32,6.284554833859053,1.6941117346049248,6.787384218576238
33,6.480947172417149,1.7108127230798569,6.726058223540798
34,6.677339510975243,1.7271534591059499,6.633785057145973
35,6.873731849533339,1.7430557082360894,6.842076377248482
36,7.070124188091435,1.758437795540592,6.789617589700561
37,7.2665165266495295,1.7732224746299203,6.872442402728274
38,7.462908865207625,1.7873427534490023,6.983165839159254
39,7.659301203765721,1.8007457870384829,6.913215597086116
40,7.855693542323817,1.8133950319866303,6.573749712766553
41,8.052085880881911,1.8252709132961198,6.981729728699534
42,8.248478219440006,1.83637028469346,6.855930273059849
43,8.444870557998103,1.8467049716915127,6.893046263530003
44,8.641262896556198,1.8562996771161837,6.8896428381199275
45,8.837655235114292,1.8651895056004555,6.661182104642959
46,9.034047573672389,1.8734173308735544,6.836803880046601
47,9.230439912230484,1.881031191334967,7.129500843520336
48,9.426832250788578,1.888081858728337,7.07911624665172
49,9.623224589346675,1.894620684480431,6.928552506131969
50,9.81961692790477,1.9006977906058702,6.814780045007759
51,10.016009266462866,1.9063606385635217,6.8220035656821585
52,10.212401605020961,1.9116529810907321,6.951244828486114
53,10.408793943579056,1.9166141793439655,6.742828760513518
54,10.605186282137153,1.9212788507234393,7.00173627640814
55,10.801578620695247,1.9256768013005916,6.969484227994312
56,10.997970959253342,1.9298331902924697,6.860375404799361
57,11.194363297811439,1.9337688718557564,6.8604989536101995
58,11.390755636369533,1.9375008608262863,6.967684734513392
59,11.587147974927628,1.941042873094446,6.884895548135962
60,11.783540313485725,1.9444058972881717,7.120986358888294
61,11.97993265204382,1.9475987615976313,6.93243434910989
62,12.176324990601914,1.9506286672712863,6.927950540788914
63,12.372717329160011,1.9535016679995902,6.9081777374065885
64,12.569109667718106,1.9562230816517974,6.98982697898355
65,12.7655020062762,1.9587978273289013,6.957775653264522
66,12.961894344834297,1.961230686235034,7.089555794105152
67,13.158286683392392,1.9635264893409738,7.068086236802869
68,13.354679021950487,1.9656902381896337,7.095610277054526
69,13.551071360508583,1.9677271675143446,6.920425220022987
70,13.747463699066678,1.9696427596969444,6.985655068602023
71,13.943856037624773,1.9714427216096724,7.1069587128566525
72,14.14024837618287,1.973132934208889,6.891830555977729
73,14.336640714740964,1.9747193845341513,7.14105182994994
74,14.533033053299059,1.9762080886654094,7.052937557231634
75,14.729425391857156,1.9776050128461398,7.053410049245129
76,14.92581773041525,1.9789159985170806,6.985490807256834
77,15.122210068973345,1.9801466955302176,7.076813747278066
78,15.318602407531442,1.9813025064105123,6.965127891802636
79,15.514994746089537,1.9823885432665476,7.0408152797019135
80,15.711387084647633,1.9834095978630324,6.979087595100202
81,15.907779423205728,1.9843701244813692,6.974970212581974
82,16.104171761763823,1.9852742345165877,6.9053292342057
83,16.300564100321917,1.9861257012839355,6.940590699161346
84,16.496956438880012,1.98692797322034,7.142811729816748
85,16.69334877743811,1.9876841935416745,6.882906055733797
86,16.889741115996205,1.9883972244288817,6.9195725710926625
87,17.0861334545543,1.9890696739352158,6.846243424124444
88,17.282525793112395,1.9897039240039904,7.041810950907087
89,17.47891813167049,1.990302158233858,7.014136461661975
90,17.675310470228585,1.990866388302298,6.998127701935992
91,17.871702808786683,1.9913984782368115,7.028321963891924
92,18.068095147344778,1.9919001659905735,7.063238442555373
93,18.264487485902873,1.9923730820223522,7.131268449156959
94,18.460879824460967,1.9928187647907827,6.781917564878747
95,18.657272163019062,1.9932386732455911,7.129395771848228
96,18.853664501577157,1.9936341965312798,7.022477808291638
97,19.050056840135255,1.994006661212912,6.96169030552497
98,19.24644917869335,1.9943573363917297,6.886174213322167
99,19.442841517251445,1.9946874371046608,6.883173418857563
100,19.63923385580954,1.9949981264014,7.010170700501643
101,19.835626194367634,1.995290516471282,7.030369936809058
102,20.032018532925733,1.995565669155115,7.101518823286714
103,20.228410871483828,1.9958245961298373,6.883869115015364
104,20.424803210041922,1.996068259001017,7.0266250998006585
105,20.621195548600017,1.9962975694839198,7.029016015744932
106,20.817587887158112,1.9965133898014245,6.899082575306333
107,21.013980225716207,1.9967165333789778,6.982359873190452
108,21.210372564274305,1.9969077658747882,6.92459023207606
109,21.4067649028324,1.9970878065486246,6.9494624960800575
110,21.603157241390495,1.9972573299453036,6.935677938308175
111,21.79954957994859,1.9974169678491667,6.983549377148618
112,21.995941918506684,1.997567311453051,7.190782520487439
113,22.19233425706478,1.9977089136787034,6.911616889881491
114,22.388726595622877,1.9978422915842853,6.955688011201793
115,22.585118934180972,1.9979679287975474,6.822234599240916
